version,planta,ip
3.0.78_OracleCloud_3.5.3,BO BIMBO OCCIDENTE,172.29.2.168
3.0.78_OracleCloud_3.5.3,BG BIMBO GOLFO,172.29.45.96
3.0.78_OracleCloud_3.5.3,BSL BIMBO SAN LUIS,172.29.45.34
3.0.78_OracleCloud_3.5.3,MO MARINELA OCCIDENTE,172.29.45.18
3.0.78_OracleCloud_3.5.3,BPU BIMBO PUEBLA,172.29.2.149
3.0.78_OracleCloud_3.5.3,BP BIMBO PACIFICO,172.29.45.53
3.0.78_OracleCloud_3.5.3,BY BIMBO YUCATAN,172.29.45.24
3.0.78_OracleCloud_3.5.3,JUL JULITAS,172.29.45.94
3.0.78_OracleCloud_3.5.3,BS BIMBO SURESTE,172.29.45.54
3.0.78_OracleCloud_3.5.3,BC BIMBO CENTRO,172.29.45.65
3.0.78_OracleCloud_3.5.3,Barcel Lerma,172.29.2.164
3.0.78,Barcel Laguna,172.29.2.152
3.0.78,Bimbo Valladolid,172.29.2.184
3.0.78,Quito,172.29.2.189
3.0.78,Bimbo Tenjo II,172.29.45.20
3.0.78,Las Mercedes,172.29.2.166
3.0.78,Bimbo Shanghai,18.163.117.74
3.0.78,Bimbo Tianjin,18.166.78.66
3.0.78_OracleCloud_3.5.3,Barcel Yucatan,172.29.45.120
3.0.78,Bimbo Hangzhou,18.162.245.205
3.0.78,BMS BIMBO MEXICO SANTA MARIA,172.29.2.185
3.0.78,Bimbo Chengdu,18.163.111.213
3.0.78,Bimbo Santiago,172.29.45.109
3.0.78,BMA BIMBO MEXICO AZCAPOTZALCO,172.29.2.174
3.0.78,Guadalajara B,172.29.2.155
3.0.78,Trillium Plant,172.29.2.187
3.0.78,Bimbo Wuhan,16.163.43.165
3.0.78,Bimbo Beijing,18.163.62.93
3.0.78,Barcel Occidente,172.29.2.190
3.0.78,Bimbo South Korea,16.163.109.223
3.0.78,Bimbo Panama,172.29.45.28
3.0.78,Barcel Mexicali,172.29.2.169
3.0.78,SM SUANDY MEXICO,172.29.45.45
3.0.78,Bimbo Guayaquil,172.29.45.82
3.0.78,Barcel Coppell,172.29.45.105
3.0.78,Tenjo 1,172.29.2.148
3.0.78,BT BIMBO TOLUCA,172.29.45.55
3.0.78,Bimbo Costa Rica,172.29.45.29
3.0.78,Bimbo Peru,172.29.2.151
3.0.78,Bimbo Recife,172.29.45.23
3.0.78,Bimbo Guatemala,172.29.45.102
3.0.78,Barcel Atitalaquia,172.29.2.150
3.0.78,Bimbo Bomporto,172.29.45.56
3.0.78,Bimbo QSR Roma,172.29.45.41
3.0.78,Cape Town,172.29.45.68
3.0.78,Bimbo Hamilton,172.29.45.21
3.0.78,Ohio Airport,172.29.45.43
3.0.78,BTI BIMBO TIJUANA,172.29.45.50
3.0.78,Bimbo Pretoria,172.29.45.13
3.0.78,Bimbo Viau,172.29.45.22
3.0.78,BBC BIMBO BAJA CALIFORNIA,172.29.45.113
3.0.78,Bimbo Fleury,172.29.45.124
3.0.78,TR TIA ROSA,172.29.2.158
3.0.78,Ohio EastPointe,172.29.45.44
3.0.78,BCH BIMBO CHIHUAHUA,172.29.45.59
3.0.78,Bimbo Calgary,172.29.45.121
3.0.78,Bimbo Zaragoza,172.29.45.8
3.0.78,SS SANISSIMO,172.29.45.75
3.0.78,Bimbo Mogi,172.29.2.156
3.0.78,Bimbo Solares,172.29.45.115
3.0.78,Bimbo Vincent Massey,172.29.45.57
